batter,Strike Rate
L Wood,300.0
B Stanlake,250.0
J Fraser-McGurk,220.00000000000003
R Sai Kishore,216.66666666666666
Umar Gul,205.26315789473685
RS Sodhi,200.0
Shahid Afridi,176.08695652173913
I Malhotra,175.0
WG Jacks,172.93233082706766
PD Salt,169.6103896103896
T Stubbs,169.4560669456067
R Shepherd,169.11764705882354
TM Head,168.5589519650655
LJ Wright,168.25396825396825
Naman Dhir,166.66666666666669
Shivam Sharma,166.66666666666669
KMDN Kulasekara,166.66666666666669
KK Cooper,165.71428571428572
AD Russell,164.22442244224422
Kamran Akmal,164.1025641025641
Avesh Khan,164.0
BJ Haddin,163.63636363636365
BCJ Cutting,163.013698630137
KJ Abbott,162.5
H Klaasen,161.99021207177816
Ramandeep Singh,160.37735849056605
Ashutosh Sharma,160.16949152542372
ER Dwivedi,160.0
OC McCoy,160.0
Akash Deep,158.33333333333331
TH David,158.0335731414868
D Pretorius,157.14285714285714
SB Dubey,157.14285714285714
SP Narine,155.8943089430894
Shashank Singh,155.51470588235296
K Gowtham,155.34591194968556
N Pooran,154.7681539807524
LS Livingstone,154.1871921182266
Rashid Khan,153.52112676056336
R Ravindra,152.05479452054794
CR Brathwaite,150.83333333333334
Bipul Sharma,150.80645161290323
JC Archer,150.75757575757575
GJ Maxwell,150.4885993485342
Harmeet Singh,150.0
AUK Pathan,150.0
C Green,149.78813559322032
CH Morris,149.636803874092
RM Patidar,149.625468164794
A Raghuvanshi,149.54128440366972
Abhishek Sharma,148.86486486486484
V Sehwag,148.82705946535734
AB de Villiers,148.58044164037855
LPC Silva,148.14814814814815
AP Dole,147.82608695652172
Abishek Porel,147.54098360655738
RR Rossouw,147.35202492211837
YBK Jaiswal,146.7579908675799
Dhruv Jurel,146.41350210970467
SD Hope,146.4
P Sahu,146.15384615384613
JM Sharma,145.70858283433134
SO Hetmyer,145.5503512880562
AJ Hosein,145.45454545454547
Arjun Tendulkar,144.44444444444443
Umran Malik,143.75
RR Pant,143.59756097560975
PJ Cummins,143.4540389972145
Arshad Khan,143.28358208955223
PP Shaw,143.22482967448903
P Simran Singh,143.1818181818182
A Ashish Reddy,142.85714285714286
MF Maharoof,142.74193548387098
Misbah-ul-Haq,142.6829268292683
SA Yadav,142.50594766058683
JC Buttler,142.23898372369987
CH Gayle,142.1217292377702
Abdul Samad,141.91176470588235
R Powell,141.73228346456693
LH Ferguson,141.66666666666669
D Wiese,140.95238095238096
Vivrant Sharma,140.81632653061226
Mohammad Nabi,140.76433121019107
KA Pollard,140.45770331017573
MJ Lumb,140.4040404040404
JM Bairstow,140.37102473498234
TU Deshpande,140.0
V Viyaskanth,140.0
HH Pandya,139.69128996692393
Atharva Taide,139.54802259887003
S Dube,139.46146703806872
Tilak Varma,139.27710843373492
Sunny Singh,138.70967741935485
DP Conway,138.11659192825113
YK Pathan,138.04627249357327
HM Amla,138.03827751196172
PBB Rajapaksa,137.81094527363186
MJ Guptill,137.56345177664974
D Salunkhe,137.5
Yudhvir Singh,137.5
KR Mayers,137.31884057971016
Nithish Kumar Reddy,137.10407239819006
RN ten Doeschate,136.9747899159664
JA Morkel,136.93820224719101
MM Ali,136.86690223792698
MP Stoinis,136.60322108345534
RK Singh,136.54434250764527
CA Lynn,136.4476386036961
I Udana,136.36363636363635
RA Tripathi,135.51515151515153
M Morkel,135.48387096774192
MK Lomror,135.47557840616966
DA Warner,135.4299855640338
SV Samson,135.1376146788991
DA Miller,134.68447719944726
SN Thakur,134.64912280701756
PVD Chameera,134.375
B Sai Sudharsan,134.28571428571428
SR Watson,134.1632088520055
N Wadhera,134.09961685823754
ST Jayasuriya,134.03141361256544
M Shahrukh Khan,133.89830508474577
RD Gaikwad,133.63279056709715
JJ Roy,133.47826086956522
B Akhil,133.33333333333331
AN Ahmed,133.33333333333331
JPR Scantlebury-Searles,133.33333333333331
K Upadhyay,133.33333333333331
VRV Singh,133.33333333333331
DAJ Bracewell,133.33333333333331
CRD Fernando,133.33333333333331
P Chopra,133.33333333333331
F du Plessis,133.07132459970887
AC Gilchrist,133.05466237942122
MS Dhoni,132.8350646060299
JR Hopes,132.80254777070064
Ishan Kishan,132.79758915118032
VR Iyer,132.6
SK Raina,132.53531242518554
C de Grandhomme,132.31441048034935
DR Smith,132.27953410981698
Shubman Gill,132.23684210526315
BJ Rohrer,132.1917808219178
KP Pietersen,132.05804749340368
ML Hayden,131.94278903456495
AC Blizzard,131.86813186813185
KD Karthik,131.35340385136968
SM Curran,131.2035661218425
DL Chahar,131.14754098360655
Q de Kock,131.12033195020746
E Lewis,131.06212424849699
KL Rahul,131.05086640581328
Harbhajan Singh,130.9748427672956
N Rana,130.81885856079404
A Mithun,130.76923076923077
D Brevis,130.6818181818182
MS Gony,130.26315789473685
BA Stokes,130.22284122562675
SE Marsh,130.10977522216413
NLTC Perera,130.06134969325154
JP Faulkner,129.80295566502463
JD Ryder,129.6137339055794
AU Rashid,129.41176470588235
PN Mankad,129.33333333333331
R Parag,129.04290429042905
R Tewatia,128.55329949238578
V Kohli,128.51186658114176
SN Khan,128.28947368421052
MA Agarwal,128.25564632388276
DJ Mitchell,128.1021897810219
KH Pandya,127.97202797202797
RG Sharma,127.91819409608335
PD Collingwood,127.67295597484276
A Manohar,127.62430939226519
S Narwal,127.58620689655173
Sikandar Raza,127.27272727272727
TR Birt,127.11864406779661
BB McCullum,126.84859154929578
Rahmanullah Gurbaz,126.75438596491229
SM Pollock,126.72413793103448
Gulbadin Naib,126.66666666666666
AC Voges,126.57342657342659
AK Markram,126.4294790343075
SM Katich,126.17801047120419
RV Uthappa,126.15227909345556
S Vidyut,126.08695652173914
Ankit Sharma,126.08695652173914
SW Billings,126.06516290726817
STR Binny,125.71428571428571
A Badoni,125.54455445544555
KK Nair,125.503355704698
M Vohra,125.49246813441484
CL White,125.45219638242895
AR Patel,125.41729893778452
DJ Hooda,125.2991452991453
V Shankar,125.2808988764045
DJ Bravo,125.10024057738573
Arshad Khan (2),125.0
A Choudhary,125.0
MR Marsh,125.0
OA Shah,124.93827160493827
MC Henriques,124.84394506866417
SPD Smith,124.81240620310155
Yuvraj Singh,124.78477571363842
Azhar Mahmood,124.7588424437299
A Symonds,124.71190781049937
AT Rayudu,124.58452722063038
RA Jadeja,124.4322960470984
AD Hales,124.36974789915966
WP Saha,123.90202702702702
MV Boucher,123.89937106918238
MN van Wyk,123.7037037037037
Azmatullah Omarzai,123.52941176470588
S Dhawan,123.45431333211745
CJ Anderson,123.39449541284404
AJ Finch,123.34905660377358
SS Iyer,123.02554027504911
KS Williamson,122.95271049596307
C Munro,122.91666666666667
LMP Simmons,122.89293849658314
AS Yadav,122.50000000000001
SA Abbott,122.22222222222223
DNT Zoysa,122.22222222222223
B Lee,121.56862745098039
BJ Hodge,121.42237640936686
P Negi,121.26245847176081
UT Khawaja,120.95238095238095
AD Mathews,120.86811352253757
JP Duminy,120.77380952380952
AM Rahane,120.32141005702437
LA Pomersbach,120.3187250996016
Mandeep Singh,120.31029619181946
SA Asnodkar,120.17045454545455
GJ Bailey,120.1086956521739
DJ Hussey,120.07266121707538
LRPL Taylor,120.07083825265643
MA Wood,120.0
Joginder Sharma,120.0
DM Bravo,120.0
MEK Hussey,119.96359223300972
DH Yagnik,119.71830985915493
G Gambhir,119.66515323496027
Shakib Al Hasan,119.54887218045114
HC Brook,119.49685534591194
AB McDonald,119.41747572815532
KM Jadhav,119.36758893280633
JO Holder,119.35483870967742
T Taibu,119.23076923076923
EJG Morgan,119.05165114309906
AP Tare,118.94736842105263
Anmolpreet Singh,118.80341880341881
DPMD Jayawardene,118.7910643889619
M Vijay,118.61413043478262
Sameer Rizvi,118.6046511627907
KC Sangakkara,118.4691011235955
KS Bharat,118.45238095238095
MG Bracewell,118.36734693877551
S Sohal,118.32797427652733
KA Jamieson,118.18181818181819
GD Phillips,118.18181818181819
MW Short,118.18181818181819
R Bhatia,117.9310344827586
D Padikkal,117.83824640967498
TK Curran,117.59259259259258
DJG Sammy,117.52988047808766
MK Pandey,117.36618004866179
Gurkeerat Singh,117.20183486238531
Sachin Baby,117.07317073170731
PC Valthaty,116.89814814814814
IK Pathan,116.75126903553299
PA Patel,116.62571662571663
MJ McClenaghan,116.43835616438356
HV Patel,116.35514018691589
Sohail Tanvir,116.12903225806453
Harpreet Brar,115.92039800995025
JD Unadkat,115.88235294117648
S Badrinath,115.74297188755021
SS Tiwary,115.72424477149497
JL Pattinson,115.38461538461537
SD Lad,115.38461538461537
DB Ravi Teja,115.38461538461537
Anuj Rawat,115.21739130434783
AJ Tye,115.18987341772151
TL Suman,115.1618398637138
Shahbaz Ahmed,114.77516059957173
KV Sharma,114.70588235294117
SP Fleming,114.61988304093566
R Ashwin,114.61318051575931
R Sathish,114.40677966101696
KC Cariappa,114.28571428571428
AM Nayar,114.28571428571428
NV Ojha,114.26470588235293
SR Tendulkar,114.18786692759295
LA Carseldine,114.08450704225352
Y Venugopal Rao,113.87283236994219
DB Das,113.85767790262172
MK Tiwary,113.83478844862324
Sanvir Singh,113.63636363636364
RS Bopara,113.46153846153845
R Dravid,113.34723670490095
LR Shukla,113.12849162011173
NL McCullum,113.04347826086956
AP Majumdar,112.98701298701299
J Suchith,112.90322580645163
AS Raut,112.79069767441861
DJM Short,112.74509803921569
DT Christian,112.74509803921569
Saurav Chauhan,112.5
AA Kulkarni,112.5
S Anirudha,112.39669421487604
J Botha,112.36263736263736
Salman Butt,112.20930232558139
RE Levi,112.16216216216218
CA Ingram,112.02185792349727
AB Agarkar,111.87499999999999
R Bishnoi,111.76470588235294
R Dhawan,111.70212765957446
VH Zol,111.53846153846155
SS Prabhudessai,111.50442477876106
MD Mishra,111.26760563380283
RR Raje,111.11111111111111
BR Dunk,111.11111111111111
KAJ Roach,111.11111111111111
TG Southee,111.11111111111111
S Rana,110.97560975609757
WPUJC Vaas,110.95890410958904
Swapnil Singh,110.86956521739131
Washington Sundar,110.85043988269794
PK Garg,110.5263157894737
RE van der Merwe,110.41666666666667
AT Carey,110.34482758620689
TM Dilshan,110.12416427889207
B Chipli,109.375
NM Coulter-Nile,109.33333333333333
AL Menaria,109.26430517711172
MA Khote,109.09090909090908
M Markande,109.09090909090908
AA Chavan,109.09090909090908
A Flintoff,108.77192982456141
AS Roy,108.33333333333333
MS Bisla,108.27679782903662
DJ Harris,107.76699029126213
BB Samantray,107.75862068965519
MDKJ Perera,107.6923076923077
F Behardien,107.6923076923077
Vijaykumar Vyshak,107.6923076923077
SD Chitnis,107.6086956521739
PP Chawla,107.58620689655172
J Syed Mohammad,107.40740740740742
R Vinay Kumar,107.26643598615917
SP Jackson,107.01754385964912
CM Gautam,106.9620253164557
GC Smith,106.9464544138929
Shoaib Malik,106.12244897959184
JH Kallis,105.93627237014405
JJ van der Wath,105.88235294117648
HH Gibbs,105.8542413381123
JEC Franklin,105.8252427184466
M Manhas,105.76131687242798
Y Gnaneswara Rao,105.55555555555556
Aman Hakim Khan,105.50458715596329
J Yadav,105.26315789473684
RV Patel,105.26315789473684
P Kumar,105.26315789473684
AC Thomas,105.26315789473684
Y Nagar,105.1660516605166
YV Takawale,104.91803278688525
RR Powar,104.6875
N Jagadeesan,104.51612903225806
RJ Harris,104.46428571428572
VVS Laxman,104.0590405904059
S Gopal,104.04624277456647
JM Kemp,104.0
M Kartik,103.6697247706422
Harpreet Singh,103.36134453781514
DL Vettori,102.54237288135593
DW Steyn,102.45398773006136
Iqbal Abdulla,102.32558139534885
FY Fazal,102.23463687150837
MJ Clarke,102.08333333333333
OF Smith,102.0
SC Ganguly,101.73453996983409
RD Chahar,101.5748031496063
Lalit Yadav,101.32890365448506
CR Woakes,101.29870129870129
TA Boult,101.21951219512195
W Jaffer,100.7751937984496
M Kaif,100.3875968992248
S Aravind,100.0
Abdul Basith,100.0
GB Hogg,100.0
SJ Srivastava,100.0
SZ Mulani,100.0
DT Patil,100.0
VS Yeligati,100.0
VS Malik,100.0
TL Seifert,100.0
Liton Das,100.0
M Theekshana,100.0
DP Vijaykumar,100.0
AD Mascarenhas,100.0
Rasikh Salam,100.0
RJ Gleeson,100.0
RJ Peterson,100.0
RG More,100.0
CJ Jordan,100.0
DG Nalkande,100.0
DJ Malan,100.0
NJ Rimmington,100.0
MD Shanaka,100.0
AR Bawne,100.0
Mukesh Choudhary,100.0
Mashrafe Mortaza,100.0
A Kamboj,100.0
AA Jhunjhunwala,99.54128440366972
K Rabada,99.51690821256038
MG Johnson,99.40476190476191
SE Rutherford,99.06542056074767
JDS Neesham,98.9247311827957
MS Wade,98.91891891891892
UT Yadav,98.5781990521327
HR Shokeen,98.50746268656717
PA Reddy,98.20359281437125
RJ Quiney,98.09523809523809
R Rampaul,98.07692307692307
N Saini,97.9020979020979
SB Styris,97.76119402985076
AB Barath,97.67441860465115
NK Patel,97.58064516129032
JR Philippe,97.5
CA Pujara,96.7741935483871
Vishnu Vinod,96.55172413793103
JDP Oram,96.36363636363636
MA Starc,96.3302752293578
KB Arun Karthik,96.22641509433963
A Nortje,96.07843137254902
J Arunkumar,95.83333333333334
UBT Chand,95.54140127388536
SP Goswami,95.43973941368078
NJ Maddinson,95.23809523809523
MM Patel,95.1219512195122
PR Shah,94.84536082474226
DS Lehmann,94.73684210526315
RV Gomez,94.33962264150944
GR Napier,93.75
RR Sarwan,93.58974358974359
M Klinger,93.58974358974359
SB Jakati,93.33333333333333
MC Juneja,93.28358208955224
M Jansen,92.95774647887323
Mohsin Khan,92.5925925925926
MN Samuels,92.52873563218391
KW Richardson,92.3076923076923
B Sumanth,92.10526315789474
DS Kulkarni,92.03539823008849
L Ronchi,91.8918918918919
DR Sams,91.66666666666666
DE Bollinger,91.30434782608695
